step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
223,0.0,0,109.88,39.620000000000005,34.68,144.82,0,0,
224,0.0,0,61.88,38.620000000000005,33.68,129.82,0,0,
225,0.0,0,61.88,43.620000000000005,34.68,113.82,0,2.22,
226,0.0,0,97.88,31.62,25.68,106.82,0,0,
227,0.0,0,54.88,40.620000000000005,19.68,65.82,0,7.220000000000001,
228,0.0,0,53.88,43.620000000000005,30.68,91.82,0,0,
229,0.0,0,50.88,40.620000000000005,33.68,103.82,0,1.2200000000000002,
230,0.0,0,0,27.62,34.68,94.82,0,4.220000000000001,
231,0.0,0,48.88,43.620000000000005,23.68,64.82,0,5.220000000000001,
232,0.0,0,42.88,37.620000000000005,43.68,64.82,0,0,
233,0.0,0,41.88,42.620000000000005,29.68,54.82,4.76,0,
234,0.0,0,74.88,31.62,54.68,18.82,0,4.220000000000001,
235,0.0,0,34.88,42.620000000000005,53.68,50.82,0,4.220000000000001,
236,0.0,0,33.88,43.620000000000005,54.68,52.82,0,7.220000000000001,
237,0.0,0,30.880000000000003,40.620000000000005,52.68,68.82,0,1.2200000000000002,
238,0.0,0,0,47.620000000000005,43.68,0,0,4.220000000000001,
239,0.0,0,33.88,49.620000000000005,29.68,36.82,0,0,
240,0.0,0,25.880000000000003,40.620000000000005,39.68,50.82,0,0,
241,0.0,0,66.88,22.62,33.68,76.82,7.76,2.22,
242,0.0,0,28.880000000000003,47.620000000000005,36.68,52.82,0,3.22,
243,0.0,0,26.880000000000003,39.620000000000005,39.68,30.82,0,0,
244,0.0,0,21.880000000000003,43.620000000000005,11.68,0,0,2.22,
245,0.0,0,24.880000000000003,47.620000000000005,29.68,0,0,4.220000000000001,
246,0.0,0,64.88,42.620000000000005,24.68,0,0,1.2200000000000002,
247,0.0,0,17.880000000000003,42.620000000000005,39.68,31.82,0,6.220000000000001,
248,0.0,0,19.880000000000003,40.620000000000005,44.68,16.82,0,5.220000000000001,
249,0.0,0,0,52.620000000000005,34.68,0,0,0,
250,0.0,0,43.88,42.620000000000005,24.68,21.82,0,0,
251,0.0,0,12.88,38.620000000000005,0.6799999999999999,6.82,0,0,
252,0.0,0,14.88,39.620000000000005,61.68,37.82,0,1.2200000000000002,
253,0.0,0,0,37.620000000000005,39.68,57.82,0,2.22,
254,0.0,0,9.88,39.620000000000005,48.68,0,0,4.220000000000001,
255,0.0,0,9.88,39.620000000000005,38.68,9.82,0,5.220000000000001,
256,0.0,0,46.88,58.620000000000005,42.68,0,0,0.2200000000000002,
257,0.0,0,36.88,39.620000000000005,62.68,17.82,0,0,
258,0.0,0,7.880000000000001,43.620000000000005,46.68,10.82,0,1.2200000000000002,
259,0.0,0,8.88,37.620000000000005,32.68,18.82,0,1.2200000000000002,
260,0.0,0,0,51.620000000000005,19.68,0,0,0,
261,0.0,0,43.88,30.62,50.68,28.82,2.76,0,
262,0.0,0,5.880000000000001,39.620000000000005,59.68,17.82,57.76,0,
263,0.0,0,2.880000000000001,39.620000000000005,60.68,7.82,1.7599999999999998,0,
264,0.0,0,0,21.62,71.68,86.82,7.76,9.22,
265,0.0,0,4.880000000000001,43.620000000000005,26.68,9.82,0,1.2200000000000002,
266,0.0,0,2.880000000000001,35.620000000000005,51.68,30.82,13.76,3.22,
267,0.0,0,0,34.620000000000005,48.68,103.82,5.76,0,
268,0.0,0,4.880000000000001,39.620000000000005,35.68,147.82,30.759999999999998,2.22,
269,0.0,0,0,39.620000000000005,18.68,20.82,2.76,0,
270,0.0,0,5.880000000000001,39.620000000000005,57.68,17.82,76.76,0,
271,0.0,0,0,31.62,46.68,0,36.76,0,
272,0.0,0,0,39.620000000000005,49.68,36.82,8.76,0,
273,0.0,0,1.8800000000000008,35.620000000000005,56.68,3.8200000000000003,6.76,1.2200000000000002,
274,0.0,0,0,35.620000000000005,52.68,0,0,0,
275,0.0,0,0,27.62,59.68,0.8200000000000003,11.76,0,
276,0.0,0,53.88,31.62,46.68,51.82,5.76,0.2200000000000002,
277,0.0,0,0,34.620000000000005,29.68,16.82,0,0,
278,0.0,0,0.8800000000000008,37.620000000000005,39.68,20.82,11.76,0,
279,0.0,7.52,13.88,22.62,50.68,0,0,0,
280,0.0,0,0,32.620000000000005,47.68,7.82,9.76,0,
281,0.0,2.52,0,31.62,10.68,8.82,0,0,
282,0.0,0,0,29.62,36.68,0,6.76,0,
283,0.0,0,0,27.62,35.68,0,13.76,0,
284,0.0,0,1.8800000000000008,31.62,47.68,21.82,3.76,0,
285,0.0,0,1.8800000000000008,31.62,58.68,16.82,4.76,0,
286,0.0,0,5.880000000000001,38.620000000000005,23.68,0,0,0,
287,0.0,0.52,20.880000000000003,31.62,34.68,0,0,1.2200000000000002,
288,0.0,0,0,31.62,49.68,0,10.76,0,
289,0.0,0,0,31.62,40.68,8.82,4.76,0,
290,0.0,0,0,39.620000000000005,28.68,0,24.759999999999998,0,
291,0.0,0,20.880000000000003,32.620000000000005,35.68,14.82,4.76,0,
292,0.0,0,0,30.62,11.68,0,16.759999999999998,0,
293,0.0,0,0,27.62,31.68,6.82,12.76,0,
