step,gs0,gs1,gs2,
728,952,947,949,
729,951,947,947,
730,951,947,947,
731,951,947,949,
732,951,947,949,
733,952,947,949,
734,952,947,949,
735,952,947,948,
736,952,947,948,
737,952,947,949,
738,952,947,949,
739,952,947,948,
740,952,947,948,
741,951,947,949,
742,951,947,949,
743,951,947,948,
744,951,947,948,
745,952,948,949,
746,952,948,949,
747,952,947,949,
748,952,947,949,
749,951,947,949,
750,951,947,949,
751,951,946,947,
752,951,946,947,
753,951,946,948,
754,951,946,948,
755,952,947,950,
756,952,947,950,
757,951,947,948,
758,951,947,948,
759,953,947,948,
760,953,947,948,
761,952,946,948,
762,952,946,948,
763,952,947,948,
764,952,947,948,
765,952,947,948,
766,952,947,948,
767,952,947,948,
768,953,948,948,
769,953,948,948,
770,952,948,950,
771,952,948,950,
772,953,949,950,
773,953,949,950,
774,953,948,949,
775,953,948,949,
776,954,949,949,
777,954,949,949,
778,954,949,950,
779,954,949,950,
780,954,950,949,
781,954,950,949,
782,955,950,950,
783,955,950,950,
784,955,950,950,
785,955,950,950,
786,955,950,950,
787,955,950,950,
788,956,949,950,
789,956,949,950,
790,954,947,947,
791,954,947,947,
792,956,948,948,
793,956,948,948,
794,955,949,950,
795,955,949,950,
796,956,949,949,
797,956,949,949,
798,955,949,948,
799,955,949,948,
800,955,949,948,
801,955,949,948,
802,955,949,949,
803,955,949,949,
804,954,949,949,
805,954,949,949,
806,956,949,949,
807,956,949,949,
808,956,949,948,
809,956,949,948,
810,956,949,949,
811,956,949,949,
812,956,949,948,
813,956,949,948,
814,956,949,948,
815,956,949,948,
816,953,948,947,
817,953,948,947,
818,953,947,946,
819,953,947,946,
820,952,947,947,
821,952,947,947,
822,953,947,948,
823,954,947,949,
824,954,947,949,
825,953,948,949,
826,953,948,949,
827,954,948,949,
828,954,948,949,
829,954,949,949,
830,954,949,949,
831,955,949,949,
832,955,949,949,
833,955,950,949,
834,955,950,949,
835,956,950,949,
836,956,950,949,
837,955,950,950,
838,955,950,950,
839,956,950,950,
840,956,950,950,
841,955,949,950,
842,955,949,950,
843,955,950,950,
844,955,950,950,
845,955,950,950,
846,955,950,950,
847,955,950,949,
848,955,950,949,
849,955,949,950,
850,955,949,950,
851,952,947,945,
852,952,947,945,
853,940,879,865,
854,940,879,865,
855,577,506,587,
856,577,506,587,
857,511,454,547,
858,511,454,547,
859,504,445,553,
860,487,433,539,
861,487,433,539,
862,495,433,544,
863,495,433,544,
864,505,431,554,
865,505,431,554,
866,501,440,539,
867,501,440,539,
868,508,430,543,
869,508,430,543,
870,511,450,543,
871,511,450,543,
872,494,452,541,
873,494,452,541,
874,490,431,527,
875,490,431,527,
876,495,446,527,
877,495,446,527,
878,508,444,553,
879,508,444,553,
880,492,434,556,
881,492,434,556,
882,479,423,541,
883,479,423,541,
884,492,434,550,
885,492,434,550,
886,538,517,686,
887,538,517,686,
888,925,805,934,
889,925,805,934,
890,949,938,944,
891,949,938,944,
892,952,947,948,
893,952,947,948,
894,952,946,948,
895,952,946,948,
896,952,946,948,
897,952,946,948,
898,953,946,946,
899,953,946,946,
