step,tof,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
245,219,0.0,0.0,0.0,0.0,0,0,14.22,0.54,
246,219,0.0,0.0,0.0,0.0,0,0,16.22,0,
247,219,0.0,0.0,0.0,0.0,0,0,13.22,0,
248,220,0.0,0.0,0.0,0.0,0,0,20.22,0,
249,220,0.0,0.0,0.0,0.0,0,0,8.22,0.54,
250,220,0.0,0.0,0.0,0.0,0,0,11.22,1.54,
251,220,0.0,0.0,0.0,0.0,0,10.14,14.22,0.54,
252,220,0.0,0.0,0.0,0.0,0,0,12.22,0.54,
253,217,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,0,
254,217,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
255,217,0.0,0.0,0.0,0.0,0,0,6.220000000000001,0,
256,217,0.0,0.0,0.0,0.0,0,0,11.22,4.54,
257,217,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0,
258,216,0.0,0.0,0.0,0.0,0,26.14,17.22,0,
259,216,0.0,0.0,0.0,0.0,0,0,13.22,2.54,
260,216,0.0,0.0,0.0,0.0,0,0,21.22,0,
261,216,0.0,0.0,0.0,0.0,0,0,7.220000000000001,24.54,
262,210,0.0,0.0,0.0,0.0,0,0,18.22,1.54,
263,210,0.0,0.0,0.0,0.0,0,0,11.22,0,
264,210,0.0,0.0,0.0,0.0,0,0,18.22,0,
265,210,0.0,0.0,0.0,0.0,0,0,12.22,0,
266,210,0.0,0.0,0.0,0.0,0,0,0,0,
267,205,0.0,0.0,0.0,0.0,0,0,16.22,1.54,
268,205,0.0,0.0,0.0,0.0,0,0,26.22,0.54,
269,205,0.0,0.0,0.0,0.0,0,0,26.22,20.54,
270,205,0.0,0.0,0.0,0.0,0,0,7.220000000000001,1.54,
271,205,0.0,0.0,0.0,0.0,0,0,14.22,5.54,
272,202,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0.54,
273,202,0.0,0.0,0.0,0.0,0,0,12.22,3.54,
274,202,0.0,0.0,0.0,0.0,0,0,9.22,0,
275,202,0.0,0.0,0.0,0.0,0,0,24.22,0,
276,202,0.0,0.0,0.0,0.0,0,0,13.22,1.54,
277,202,0.0,0.0,0.0,0.0,0,0,20.22,2.54,
278,202,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,26.54,
279,202,0.0,0.0,0.0,0.0,0,0,14.22,3.54,
280,202,0.0,0.0,0.0,0.0,0,0,14.22,0,
281,202,0.0,0.0,0.0,0.0,0,0,18.22,0,
282,201,0.0,0.0,0.0,0.0,0,0,19.22,0,
283,201,0.0,0.0,0.0,0.0,0,0,15.22,1.54,
284,201,0.0,0.0,0.0,0.0,0,0,14.22,2.54,
285,201,0.0,0.0,0.0,0.0,0,4.140000000000001,31.22,0,
286,201,0.0,0.0,0.0,0.0,0,0,5.220000000000001,26.54,
287,200,0.0,0.0,0.0,0.0,0,0,15.22,0.54,
288,200,0.0,0.0,0.0,0.0,0,0,18.22,3.54,
289,200,0.0,0.0,0.0,0.0,0,1.1400000000000006,4.220000000000001,0,
290,200,0.0,0.0,0.0,0.0,0,0,12.22,4.54,
291,200,0.0,0.0,0.0,0.0,0,0,15.22,0,
292,195,0.0,0.0,0.0,0.0,0,0,36.22,0,
293,195,0.0,0.0,0.0,0.0,0,0,24.22,1.54,
294,195,0.0,0.0,0.0,0.0,0,0,16.22,0.54,
295,195,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,32.54,
296,195,0.0,0.0,0.0,0.0,0,18.14,1.2200000000000006,3.54,
297,194,0.0,0.0,0.0,0.0,0,19.14,17.22,0,
298,194,0.0,0.0,0.0,0.0,0,0,18.22,0,
299,194,0.0,0.0,0.0,0.0,0,0,21.22,1.54,
300,194,0.0,0.0,0.0,0.0,0,0,20.22,0,
301,194,0.0,0.0,0.0,0.0,0,0,15.22,2.54,
302,185,0.0,0.0,0.0,0.0,0,0,16.22,1.54,
303,185,0.0,0.0,0.0,0.0,0,0,19.22,0.54,
304,185,0.0,0.0,0.0,0.0,0,8.14,13.22,0,
305,185,0.0,0.0,0.0,0.0,0,0,15.22,1.54,
306,185,0.0,0.0,0.0,0.0,0,0,16.22,37.54,
307,182,0.0,0.0,0.0,0.0,0,0,18.22,28.54,
308,182,0.0,0.0,0.0,0.0,0,0,18.22,5.54,
309,182,0.0,0.0,0.0,0.0,0,0,18.22,1.54,
310,182,0.0,0.0,0.0,0.0,0,0,9.22,0,
311,182,0.0,0.0,0.0,0.0,0,13.14,11.22,0,
312,179,0.0,0.0,0.0,0.0,0,36.14,19.22,0,
313,179,0.0,0.0,0.0,0.0,0,0,14.22,32.54,
314,179,0.0,0.0,0.0,0.0,0,0,16.22,0,
315,179,0.0,0.0,0.0,0.0,0,0,23.22,4.54,
316,179,0.0,0.0,0.0,0.0,0,0,15.22,0,
317,176,0.0,0.0,0.0,0.0,0,6.140000000000001,18.22,5.54,
318,176,0.0,0.0,0.0,0.0,0,53.14,38.22,4.54,
319,176,0.0,0.0,0.0,0.0,0,0,23.22,42.54,
320,176,0.0,0.0,0.0,0.0,0,0,18.22,4.54,
321,175,0.0,0.0,0.0,0.0,0,0,18.22,4.54,
322,175,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,0,
323,175,0.0,0.0,0.0,0.0,0,0,16.22,1.54,
324,175,0.0,0.0,0.0,0.0,0,0,18.22,0,
325,175,0.0,0.0,0.0,0.0,0,0,38.22,0,
326,171,0.0,0.0,0.0,0.0,0,21.14,18.22,4.54,
327,171,0.0,0.0,0.0,0.0,0,0,28.22,2.54,
328,171,0.0,0.0,0.0,0.0,0,0,0,39.54,
329,171,0.0,0.0,0.0,0.0,0,0,19.22,2.54,
330,171,0.0,0.0,0.0,0.0,0,0,18.22,0.54,
331,169,0.0,0.0,0.0,0.0,0,67.14,18.22,0,
332,169,0.0,0.0,0.0,0.0,0,0,17.22,3.54,
333,169,0.0,0.0,0.0,0.0,0,0,28.22,0,
